# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
5,0.0820000171661377,0.2045384645462036,82,49.32793092727661
10,0.07419997453689575,0.1873999834060669,62,32.56168866157532
20,0.022599995136260986,0.16535383462905884,90,46.253929138183594
30,0.05640000104904175,0.1801692247390747,62,32.801034927368164
40,0.0153999924659729,0.1592922806739807,77,40.55432486534119
5,0.08880001306533813,0.20246154069900513,81,36.57561922073364
10,0.046000003814697266,0.17916923761367798,83,41.36390542984009
20,0.05080002546310425,0.16436922550201416,49,26.030006408691406
30,0.020200014114379883,0.1717846393585205,86,44.497143268585205
40,0.004400014877319336,0.15955382585525513,101,51.70595860481262
5,0.10920000076293945,0.19946151971817017,55,24.61006736755371
10,0.08079999685287476,0.19669228792190552,81,40.112539768218994
20,0.02120000123977661,0.1674923300743103,87,44.08906173706055
30,0.02679997682571411,0.1623692512512207,70,36.6794536113739
40,0.01260000467300415,0.16369229555130005,88,45.179760217666626
5,0.11979997158050537,0.20793843269348145,53,23.88675546646118
10,0.058399975299835205,0.18450766801834106,75,36.41572093963623
20,0.037400007247924805,0.1730615496635437,79,39.50365352630615
30,0.030399978160858154,0.16247689723968506,69,35.14214110374451
40,0.022599995136260986,0.1574000120162964,67,34.589314222335815
5,0.13620001077651978,0.212538480758667,37,16.271706104278564
10,0.0658000111579895,0.18701541423797607,84,39.25760006904602
20,0.0307999849319458,0.16436922550201416,73,35.9042227268219
30,0.03839999437332153,0.16889232397079468,66,32.53974628448486
40,0.010200023651123047,0.15943074226379395,85,42.788721323013306
5,0.11040002107620239,0.20855385065078735,81,34.74732065200806
10,0.06760001182556152,0.18166154623031616,65,28.850337266921997
20,0.022800028324127197,0.17066150903701782,88,42.98008346557617
30,0.04180002212524414,0.1745692491531372,78,38.35921311378479
40,0.00700002908706665,0.16218459606170654,94,46.292396783828735
5,0.1711999773979187,0.26384615898132324,66,28.4927237033844
10,0.08740001916885376,0.19372308254241943,65,28.64747905731201
20,0.04360002279281616,0.17230767011642456,74,33.172118186950684
30,0.01239997148513794,0.16356921195983887,94,42.737483978271484
40,0.030399978160858154,0.16867691278457642,79,36.30327320098877
5,0.08819997310638428,0.19504612684249878,66,30.391019105911255
10,0.06800001859664917,0.18783074617385864,72,31.56972312927246
20,0.03700000047683716,0.17509227991104126,91,41.200944662094116
30,0.01660001277923584,0.1634615659713745,88,41.031283140182495
40,0.03380000591278076,0.1592000126838684,54,31.734511137008667
5,0.09920001029968262,0.19667690992355347,57,26.56939196586609
10,0.08880001306533813,0.1746923327445984,40,24.699309825897217
20,0.04559999704360962,0.17526155710220337,69,37.857879638671875
30,0.011200010776519775,0.1648615598678589,91,46.13012409210205
40,0.031199991703033447,0.17250770330429077,72,36.72084069252014
5,0.12139999866485596,0.20909231901168823,62,28.835453748703003
10,0.07300001382827759,0.18550771474838257,72,31.777510404586792
20,0.02240002155303955,0.1669076681137085,77,41.094667196273804
30,0.0307999849319458,0.16395384073257446,92,47.446526527404785
40,0.02039998769760132,0.16019999980926514,72,34.50520443916321
5,0.10680001974105835,0.21066153049468994,72,26.927484035491943
10,0.06339997053146362,0.18064618110656738,59,26.476680278778076
20,0.07899999618530273,0.16803079843521118,50,24.197200298309326
30,0.025399982929229736,0.1621384620666504,64,30.51892113685608
40,0.015999972820281982,0.16295385360717773,80,39.80558371543884
